name,price,detail_link,image_link,tags
"Milroy's Soho Selection 30 years  peated cask #3","€146,95","https://slijterijdehelm.nl/winkel/whisky/malt/milroys-soho-selection-30-years-peated-cask-3/","https://slijterijdehelm.nl/wp-content/uploads/2026/03/Milroys-Soho-Selection-30-years-peated-cask-3-600x600.png","Malt, Whisky"
"Milroy's Kildalton 22 years old 53,7 %","€433,95","https://slijterijdehelm.nl/winkel/whisky/zeer-exclusieve-bottelingen/milroys-kildalton-22-years-old-537/","https://slijterijdehelm.nl/wp-content/uploads/2026/03/Milroys-Kildalton-22-years-old-537--600x600.png","Malt, Whisky, Zeer exclusieve bottelingen"
"Milroy's Springbank 27 years old 50,3%","€1.149,95","https://slijterijdehelm.nl/winkel/whisky/malt/milroys-springbank-27-years-old-503/","https://slijterijdehelm.nl/wp-content/uploads/2026/03/Milroys-Springbank-27-years-old-503-600x600.png","Malt, Whisky"
"Milroy's Clynelish 24 yrs old 51,8 %","€434,95","https://slijterijdehelm.nl/winkel/whisky/zeer-exclusieve-bottelingen/milroys-clynelish-24-yrs-old-518/","https://slijterijdehelm.nl/wp-content/uploads/2026/03/Milroys-Clynelish-24-yrs-old-518--600x600.png","Malt, Zeer exclusieve bottelingen"
"Glen Scotia 12 years old","€48,95","https://slijterijdehelm.nl/winkel/whisky/malt/glen-scotia-12-years-old/","https://slijterijdehelm.nl/wp-content/uploads/2026/02/Glen-Scotia-12-years-old-600x600.png","Malt, Whisky"
"Clonakilty Moscatel Finish #6278 59,8%","€77,95","https://slijterijdehelm.nl/winkel/whisky/malt/clonakilty-moscatel-finish-6278-598/","https://slijterijdehelm.nl/wp-content/uploads/2026/02/Clonakilty-Moscatel-Finish-6278-598-600x600.png","Malt, Whisky"
Togouchi Beer Cask,"€53,95",https://slijterijdehelm.nl/winkel/whisky/malt/togouchi-beer-cask/,https://slijterijdehelm.nl/wp-content/uploads/2026/02/Togouchi-Beer-Cask-600x600.png,"Malt, Whisky"
Togouchi Peated Cask,"€58,95",https://slijterijdehelm.nl/winkel/whisky/malt/togouchi-peated-cask/,https://slijterijdehelm.nl/wp-content/uploads/2026/02/Togouchi-Peated-Cask-600x600.png,"Malt, Whisky"
"Dram Mor North British 20 years old 51,9%","€81,95",https://slijterijdehelm.nl/winkel/whisky/malt/dram-mor-north-british-20-years-old-519/,https://slijterijdehelm.nl/wp-content/uploads/2026/02/Dram-Mor-North-British-20-years-old-519-600x600.png,"Malt, Whisky"
The Ultimate Caol Ila 2015 9 years old #319898 #319901 #319908 #319911 46%,"€49,95",https://slijterijdehelm.nl/winkel/whisky/malt/the-ultimate-caol-ila-2015-9-years-old-319898-319901-319908-319911-46/,https://slijterijdehelm.nl/wp-content/uploads/2026/02/The-Ultimate-Caol-Ila-2015-9-years-old-319898-319901-319908-319911-46-600x600.png,"Malt, Whisky"
"Signatory Vintage 100 proof Linkwood 2012 12 years old #68 57,1%","€52,95",https://slijterijdehelm.nl/winkel/whisky/malt/signatory-vintage-100-proof-linkwood-2012-12-years-old-68-571/,https://slijterijdehelm.nl/wp-content/uploads/2026/02/Signatory-Vintage-100-proof-Linkwood-2012-12-years-old-68-571-600x600.png,"Malt, Whisky"
"Ledaig Hebridean Moon 10 years old 58,8%","€87,95",https://slijterijdehelm.nl/winkel/whisky/malt/ledaig-hebridean-moon-10-years-old-588/,https://slijterijdehelm.nl/wp-content/uploads/2026/02/Ledaig-Hebridean-Moon-10-years-old-588-600x600.png,"Malt, Whisky"
Sakurao Islay Cask Finish NL exclusive 55%,"€151,95",https://slijterijdehelm.nl/winkel/whisky/malt/sakurao-islay-cask-finish-nl-exclusive-55/,https://slijterijdehelm.nl/wp-content/uploads/2026/02/Sakurao-Islay-Cask-Finish-NL-exclusive-55-600x600.png,"Malt, Whisky"
Clonakilty 14 years old Amontillado Single Grain Irish,"€88,95",https://slijterijdehelm.nl/winkel/whisky/malt/clonakilty-14-years-old-amontillado-single-grain-irish/,https://slijterijdehelm.nl/wp-content/uploads/2026/02/Clonakilty-14-years-old-Amontillado-Single-Grain-Irish-600x600.png,"Malt, Whisky"
Glendalough Double Barrel Bourbon Oloroso,"€37,95",https://slijterijdehelm.nl/winkel/whisky/malt/glendalough-double-barrel-bourbon-oloroso/,https://slijterijdehelm.nl/wp-content/uploads/2026/02/Glendalough-Double-Barrel-Bourbon-Oloroso-600x600.png,"Malt, Whisky"
Kavalan Bourbon Oak Matured,"€84,95",https://slijterijdehelm.nl/winkel/whisky/malt/kavalan-bourbon-oak-matured/,https://slijterijdehelm.nl/wp-content/uploads/2026/02/Kavalan-Bourbon-Oak-Matured-1-600x600.png,"Malt, Whisky"
W.D. O’Connell Union Road,"€38,95",https://slijterijdehelm.nl/winkel/whisky/malt/w-d-oconnell-union-road/,https://slijterijdehelm.nl/wp-content/uploads/2026/02/W.D.-OConnell-Union-Road-600x600.png,"Malt, Whisky"
"Milroy’s Soho Selection Teaninich 13 years old 51,5%","€72,95",https://slijterijdehelm.nl/winkel/whisky/malt/milroys-soho-selection-teaninich-13-years-old-515/,https://slijterijdehelm.nl/wp-content/uploads/2026/02/Milroys-Soho-Selection-Teaninich-13-years-old-515-2-600x600.png,"Malt, Whisky"
Tormore Legacy Casks 2015 B&T Exclusive,"€73,95",https://slijterijdehelm.nl/winkel/whisky/malt/tormore-legacy-casks-2015-bt-exclusive/,https://slijterijdehelm.nl/wp-content/uploads/2026/02/Tormore-Legacy-Casks-2015-BT-Exclusive-600x600.png,"Malt, Whisky"
"Milroy’s Soho Selection Avon 9 years old Ballindalloch 51,5%","€56,95",https://slijterijdehelm.nl/winkel/whisky/malt/milroys-soho-selection-avon-9-years-old-ballindalloch-515/,https://slijterijdehelm.nl/wp-content/uploads/2026/02/Milroys-Soho-Selection-Avon-9-years-old-Ballindalloch-515-600x600.png,"Malt, Whisky"
Single Malts of Scotland Small Batch Linkwood 11 years old,"€62,95",https://slijterijdehelm.nl/winkel/whisky/malt/single-malts-of-scotland-small-batch-linkwood-11-years-old/,https://slijterijdehelm.nl/wp-content/uploads/2026/02/Single-Malts-of-Scotland-Small-Batch-Linkwood-11-years-old-600x600.png,"Malt, Whisky"
Single Malts of Scotland Small Batch MacDuff 11 years old,"€57,95",https://slijterijdehelm.nl/winkel/whisky/malt/single-malts-of-scotland-small-batch-macduff-11-years-old/,https://slijterijdehelm.nl/wp-content/uploads/2026/02/Single-Malts-of-Scotland-Small-Batch-MacDuff-11-years-old-600x600.png,"Malt, Whisky"
